Model,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Insurance,number_of_photos,Car Condition,Selling Price
MarutiWagonR1.0LXI,82238,2014,First Owner,Petrol + CNG,MANUAL,Expired,17,42,312165
ToyotaEtiosLiva,30558,2013,First Owner,Petrol,MANUAL,12/09/2021,9,44,313799
MarutiAlto800,22164,2018,First Owner,Petrol,MANUAL,01/12/2020,5,48,295999
MarutiSwift,30535,2013,First Owner,Diesel,MANUAL,Comp,10,43,435199
MarutiWagonR1.0,15738,2013,First Owner,Petrol,MANUAL,11/08/2021,5,43,0
HyundaiElitei20ASTA1.2,32652,2018,First Owner,Petrol,MH12,Comp,5,47,708199
HyundaiGrandi10SPORTZ1.2KAPPA,32496,2013,First Owner,Petrol,MANUAL,Expired,6,44,410788
HyundaiElitei20ASTA,27487,2015,First Owner,Petrol,MANUAL,22/03/2021,7,46,606599
MarutiCelerio,41383,2018,First Owner,Petrol,MANUAL,06/03/2021,16,44,459199
MarutiWagonR1.0,65476,2012,First Owner,Petrol + CNG,MANUAL,23/10/2021,3,43,265899
MarutiSwiftDzireVXI1.2BS,27992,2013,First Owner,Petrol,MANUAL,26/05/2021,4,44,426999
MarutiDzire,14061,2018,First Owner,Petrol,MANUAL,11/07/2021,11,48,671499
HondaCivic1.8S,52138,2007,Third Owner,Petrol,MANUAL,Expired,7,4,146870
MarutiAltoK10VXI,46410,2014,Second Owner,Petrol,TS07,,3,39,290099
MarutiAlto800LXI,47168,2016,First Owner,Petrol + CNG,MANUAL,17/03/2021,27,42,285399
HyundaiVernaFLUIDIC1.6EX,72813,2013,First Owner,Petrol + CNG,MANUAL,09/01/2022,27,42,529699
ToyotaEtiosCROSS1.4,79123,2015,First Owner,Diesel,MANUAL,07/07/2021,8,43,424399
HondaCitySVCVT,72097,2016,First Owner,Petrol,AUTOMATIC,02/02/2021,26,44,615799
VolkswagenVentoHIGHLINE,151201,2014,First Owner,Diesel,MANUAL,10/08/2021,7,43,413999
Hyundaii20MAGNAO,73356,2012,First Owner,Petrol,MANUAL,29/07/2021,15,43,328199
VolkswagenPoloGT,14516,2018,First Owner,Petrol,MANUAL,07/10/2021,9,49,948899
MahindraTUV300,34658,2016,First Owner,Diesel,MANUAL,02/07/2021,14,45,656399
HondaAmaze1.5VCVT,53486,2018,First Owner,Diesel,UP14,Third_party,6,45,698899
TataNanoXT,35905,2014,First Owner,Petrol,MANUAL,24/11/2021,3,43,100599
